latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,region
47.84376,36.83806,306.84,0.42,0.45,2025-01-05,0009,N,VIIRS,n,2,266.54,1.34,N,0,Black_Sea_Ukraine
47.86589,35.14801,310.73,0.54,0.42,2025-01-05,0009,N,VIIRS,n,2,272.34,2.48,N,3,Black_Sea_Ukraine
47.8703,35.16559,305.24,0.54,0.42,2025-01-05,0009,N,VIIRS,n,2,271.24,2.25,N,2,Black_Sea_Ukraine
47.87556,35.16049,301.17,0.54,0.42,2025-01-05,0009,N,VIIRS,n,2,269.13,0.74,N,2,Black_Sea_Ukraine
48.05669,37.95555,304.91,0.46,0.47,2025-01-05,0009,N,VIIRS,n,2,268.16,0.75,N,2,Black_Sea_Ukraine
48.0988,37.91812,305.72,0.46,0.47,2025-01-05,0009,N,VIIRS,n,2,267.9,1.05,N,2,Black_Sea_Ukraine
48.46192,38.77343,296.56,0.48,0.48,2025-01-05,0009,N,VIIRS,n,2,269.34,0.85,N,2,Black_Sea_Ukraine
48.47303,34.63356,296.48,0.5,0.41,2025-01-05,0009,N,VIIRS,n,2,270.2,0.97,N,2,Black_Sea_Ukraine
48.49649,38.80846,303.56,0.48,0.48,2025-01-05,0009,N,VIIRS,n,2,269.33,1.91,N,2,Black_Sea_Ukraine
48.52193,34.6291,307.41,0.5,0.41,2025-01-05,0009,N,VIIRS,n,2,271.13,2.11,N,2,Black_Sea_Ukraine
48.53361,34.64926,312.36,0.5,0.41,2025-01-05,0009,N,VIIRS,n,2,271.38,2.49,N,3,Black_Sea_Ukraine
50.45399,34.11899,306.02,0.45,0.39,2025-01-05,0009,N,VIIRS,n,2,266.74,1.03,N,0,Black_Sea_Ukraine
51.16284,35.3012,314.12,0.47,0.4,2025-01-05,0009,N,VIIRS,n,2,266.31,1.36,N,0,Black_Sea_Ukraine
51.88932,29.33521,300.14,0.39,0.36,2025-01-05,0009,N,VIIRS,n,2,267.12,0.64,N,2,Black_Sea_Ukraine
51.89175,29.34204,326.47,0.39,0.36,2025-01-05,0009,N,VIIRS,n,2,268.62,2.62,N,2,Black_Sea_Ukraine
44.73682,37.80832,332.36,0.55,0.51,2025-01-05,0010,N,VIIRS,n,2,280.49,4.39,N,2,Black_Sea_Ukraine
45.25732,31.67313,335.15,0.45,0.39,2025-01-05,0010,N,VIIRS,n,2,282.72,16.94,N,3,Black_Sea_Ukraine
45.35416,30.90524,328.16,0.43,0.38,2025-01-05,0010,N,VIIRS,n,2,265.69,1.59,N,3,Black_Sea_Ukraine
45.35519,30.89987,298.9,0.43,0.38,2025-01-05,0010,N,VIIRS,n,2,264.03,1.59,N,3,Black_Sea_Ukraine
45.37502,30.93052,313.29,0.43,0.38,2025-01-05,0010,N,VIIRS,n,2,266.5,0.81,N,3,Black_Sea_Ukraine
47.86713,33.43269,295.18,0.47,0.4,2025-01-05,0010,N,VIIRS,n,2,268.63,0.77,N,2,Black_Sea_Ukraine
47.88166,33.39933,298.57,0.47,0.4,2025-01-05,0010,N,VIIRS,n,2,267.56,0.74,N,2,Black_Sea_Ukraine
44.73426,37.80566,328.62,0.52,0.42,2025-01-05,0955,N,VIIRS,n,2,279.12,3.17,D,2,Black_Sea_Ukraine
45.25778,31.67099,337.94,0.63,0.54,2025-01-05,0955,N,VIIRS,n,2,283.54,15.16,D,3,Black_Sea_Ukraine
45.35721,30.9024,343.94,0.34,0.56,2025-01-05,0955,N,VIIRS,n,2,279.12,3.54,D,3,Black_Sea_Ukraine
48.46047,38.77252,334.97,0.43,0.38,2025-01-05,0956,N,VIIRS,n,2,275.62,4.46,D,2,Black_Sea_Ukraine
48.51971,34.63203,343.1,0.39,0.44,2025-01-05,0956,N,VIIRS,n,2,275.21,4.9,D,2,Black_Sea_Ukraine
48.81353,38.74187,330.35,0.42,0.38,2025-01-05,0956,N,VIIRS,n,2,273.07,3.54,D,0,Black_Sea_Ukraine
50.22663,36.40973,328.91,0.46,0.39,2025-01-05,0956,N,VIIRS,n,2,271.43,6.87,D,0,Black_Sea_Ukraine
50.72317,39.83023,329.22,0.39,0.36,2025-01-05,0956,N,VIIRS,n,2,271.06,3.1,D,0,Black_Sea_Ukraine
51.14191,37.93229,327.26,0.41,0.37,2025-01-05,0956,N,VIIRS,n,2,271.2,3.27,D,2,Black_Sea_Ukraine
51.16832,35.29763,325.98,0.48,0.4,2025-01-05,0957,N,VIIRS,n,2,269.65,2.84,D,0,Black_Sea_Ukraine
51.2823,34.29002,326.25,0.52,0.41,2025-01-05,0957,N,VIIRS,n,2,269.76,3.79,D,0,Black_Sea_Ukraine
52.02351,31.06169,333.35,0.43,0.46,2025-01-05,0957,N,VIIRS,n,2,269.23,4.99,D,0,Black_Sea_Ukraine
45.25449,31.67433,331.68,0.39,0.59,2025-01-05,1136,N,VIIRS,n,2,279.97,6.01,D,3,Black_Sea_Ukraine
45.25879,31.67121,354.87,0.39,0.59,2025-01-05,1136,N,VIIRS,n,2,280.61,8.04,D,3,Black_Sea_Ukraine
45.35564,30.90596,340.8,0.36,0.57,2025-01-05,1136,N,VIIRS,n,2,280.96,4.47,D,3,Black_Sea_Ukraine
47.05065,31.39721,341.11,0.39,0.59,2025-01-05,1136,N,VIIRS,n,2,276.11,3.95,D,0,Black_Sea_Ukraine
47.05082,31.40251,328.89,0.39,0.59,2025-01-05,1136,N,VIIRS,n,2,275.94,3.95,D,0,Black_Sea_Ukraine
48.09699,37.43526,326.87,0.75,0.77,2025-01-05,1137,N,VIIRS,n,2,271.34,3.63,D,0,Black_Sea_Ukraine
44.73053,37.80484,296.23,0.78,0.78,2025-01-05,2211,N,VIIRS,n,2,269.18,2.53,N,2,Black_Sea_Ukraine
44.7379,37.80694,321.09,0.78,0.78,2025-01-05,2211,N,VIIRS,n,2,274.45,2.53,N,2,Black_Sea_Ukraine
48.21272,38.24655,334.18,0.47,0.39,2025-01-05,2350,N,VIIRS,n,2,268.27,17.31,N,2,Black_Sea_Ukraine
51.13902,37.92986,328.43,0.42,0.37,2025-01-05,2350,N,VIIRS,n,2,265.93,7.42,N,2,Black_Sea_Ukraine
44.73403,37.80791,329.87,0.52,0.41,2025-01-05,2351,N,VIIRS,n,2,276.69,6.16,N,2,Black_Sea_Ukraine
44.84026,37.67885,295.06,0.51,0.41,2025-01-05,2351,N,VIIRS,n,2,269.38,0.79,N,2,Black_Sea_Ukraine
47.86857,35.16418,307.85,0.4,0.37,2025-01-05,2351,N,VIIRS,n,2,268.41,1.02,N,2,Black_Sea_Ukraine
47.8695,35.15897,298.82,0.4,0.37,2025-01-05,2351,N,VIIRS,n,2,269.67,1.44,N,3,Black_Sea_Ukraine
47.87701,35.15634,309.03,0.4,0.37,2025-01-05,2351,N,VIIRS,n,2,267.38,1.5,N,2,Black_Sea_Ukraine
47.87809,35.1902,304.04,0.4,0.37,2025-01-05,2351,N,VIIRS,n,2,266.84,0.87,N,2,Black_Sea_Ukraine
48.52103,34.63118,309.02,0.39,0.36,2025-01-05,2351,N,VIIRS,n,2,270.47,1.52,N,2,Black_Sea_Ukraine
45.25529,31.6703,297.64,0.38,0.36,2025-01-05,2352,N,VIIRS,n,2,273.12,6.38,N,3,Black_Sea_Ukraine
45.25783,31.67617,315.59,0.38,0.36,2025-01-05,2352,N,VIIRS,n,2,280.98,6.38,N,3,Black_Sea_Ukraine
45.25858,31.67131,331.91,0.38,0.36,2025-01-05,2352,N,VIIRS,n,2,287.96,6.38,N,3,Black_Sea_Ukraine
45.37649,30.92848,297.18,0.39,0.36,2025-01-05,2352,N,VIIRS,n,2,273.5,1.23,N,3,Black_Sea_Ukraine
45.20431,29.60633,327.78,0.56,0.43,2025-01-06,1117,N,VIIRS,n,2,278.83,6.66,D,0,Black_Sea_Ukraine
45.20826,29.60559,342.49,0.56,0.43,2025-01-06,1117,N,VIIRS,n,2,280.79,6.66,D,0,Black_Sea_Ukraine
45.20896,29.61274,347.37,0.56,0.43,2025-01-06,1117,N,VIIRS,n,2,280.07,6.66,D,0,Black_Sea_Ukraine
45.20966,29.6199,327.49,0.56,0.43,2025-01-06,1117,N,VIIRS,n,2,280.89,5.0,D,0,Black_Sea_Ukraine
45.21222,29.60484,327.54,0.56,0.43,2025-01-06,1117,N,VIIRS,n,2,281.33,9.55,D,0,Black_Sea_Ukraine
45.21292,29.612,356.42,0.56,0.43,2025-01-06,1117,N,VIIRS,n,2,282.23,9.55,D,0,Black_Sea_Ukraine
45.21362,29.61915,346.76,0.56,0.43,2025-01-06,1117,N,VIIRS,n,2,280.47,12.47,D,0,Black_Sea_Ukraine
45.21432,29.62632,330.26,0.56,0.43,2025-01-06,1117,N,VIIRS,n,2,281.05,12.47,D,0,Black_Sea_Ukraine
45.21511,29.61228,350.31,0.56,0.43,2025-01-06,1117,N,VIIRS,n,2,282.63,11.73,D,0,Black_Sea_Ukraine
45.21577,29.61946,339.96,0.56,0.43,2025-01-06,1117,N,VIIRS,n,2,279.3,11.73,D,0,Black_Sea_Ukraine
