title,publication_date,source,domain,url,region,collector,location_mention
Rusia : Jerman Terlibat Perang Jika Ukraina Gunakan Rudal Taurus ! ,2025-04-18 00:30:00+00:00,Indonesia,international.sindonews.com,https://international.sindonews.com/read/1556517/41/rusia-jerman-terlibat-perang-jika-ukraina-gunakan-rudal-taurus-1744934669,Black_Sea_Ukraine,gdelt,Black_Sea_Ukraine
"Malí zelení mužíčci znovu v akci . Rusko otestuje NATO v Estonsku , varuje šéf německé rozvědky",2025-06-11 05:15:00+00:00,Czech Republic,novinky.cz,https://www.novinky.cz/clanek/zahranicni-evropa-mali-zeleni-muzicci-znovu-v-akci-rusko-otestuje-nato-v-estonsku-varuje-sef-nemecke-rozvedky-40525068,Black_Sea_Ukraine,gdelt,Black_Sea_Ukraine
Armistițiu de Paște - Putin anunță încetarea focului în Ucraina,2025-04-19 15:00:00+00:00,Romania,stiripesurse.ro,https://www.stiripesurse.ro/armistitiu-de-paste-putin-anunta-incetarea-focului-in-ucraina_3654868.html,Black_Sea_Ukraine,gdelt,Black_Sea_Ukraine
Nevypočítateľný Putin : Tajné služby varujú ! Nová hrozba útoku je horšia ako Ukrajina,2025-05-21 18:30:00+00:00,Slovak Republic,topky.sk,https://www.topky.sk/cl/11/3047731/Nevypocitatelny-Putin--Tajne-sluzby-varuju--Nova-hrozba-utoku-je-horsia-ako-Ukrajina,Black_Sea_Ukraine,gdelt,Black_Sea_Ukraine
Ukrajina válku nezačala . Ani když americký prezident Trump tvrdí opak,2025-04-17 05:15:00+00:00,Czech Republic,denik.cz,https://www.denik.cz/ze_sveta/denik-proti-fake-news-donald-trump-volodymyr-zelenskij-usa.html,Black_Sea_Ukraine,gdelt,Black_Sea_Ukraine
Polish official warns Trump against  historical mistake  regarding Russia,2025-04-06 10:30:00+00:00,United States,yahoo.com,https://www.yahoo.com/news/polish-official-warns-trump-against-082035826.html,Black_Sea_Ukraine,gdelt,Black_Sea_Ukraine
Polish official warns Trump against  historical mistake  regarding Russia,2025-04-06 22:45:00+00:00,Ukraine,pravda.com.ua,https://www.pravda.com.ua/eng/news/2025/04/6/7506262/,Black_Sea_Ukraine,gdelt,Black_Sea_Ukraine
Kowal : Trump va comite o „ greșeală istorică  dacă va recunoaște pretențiile teritoriale ale Rusiei,2025-04-06 18:30:00+00:00,Romania,stiripesurse.ro,https://www.stiripesurse.ro/kowal-trump-va-comite-o-greseala-istorica-daca-va-recunoaste-pretentiile-teritoriale-ale-rusiei_3639735.html,Black_Sea_Ukraine,gdelt,Black_Sea_Ukraine
Trump Blames Biden and Zelensky for Russian Invasion :  It Wouldnt Have Happened Without Rigged Elections  ,2025-04-15 00:00:00+00:00,Cuba,cubaheadlines.com,https://www.cubaheadlines.com/articles/300938,Black_Sea_Ukraine,gdelt,Black_Sea_Ukraine
Un oficial polonez îl avertizează pe Donald Trump : „ Ești pe cale să faci o greșeală istorică . Aceasta este linia roșie  ,2025-04-06 15:45:00+00:00,Romania,digi24.ro,https://www.digi24.ro/stiri/externe/sua/un-oficial-polonez-il-avertizeaza-pe-donald-trump-esti-pe-cale-sa-faci-o-greseala-istorica-aceasta-este-linia-rosie-3187779,Black_Sea_Ukraine,gdelt,Black_Sea_Ukraine
