title,publication_date,source,domain,url,collector,region,location_mention
"With a stalemate in Ukraine and discontent at home, Putin seems ready to escalate his war - PBS",2026-05-29 17:14:15+00:00,PBS,news.google.com,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPQzBwNUZXMWFMNERKZVFoSlYyM2tHNVBmR284ZVllTXdKUFRnUjhPeEEwWUgwYjNXc29ETmNib1dhV1Z6akxJUlk3dWZaYjdVSmhfMDA2M0ZGNDQ2TkdjSGVKdkVNNEdCZU1taldTOG0xUUo4c3QxOHhfZlBySjc3YndEbUtoYU1mOUhKZWVCNS1yUjJmbGpkc0tfZmxkUHFWNkJWbHRGT0ZxRW8yZjNrR3lGVHBTQXR0UXY2eW5KUnjSAcYBQVVfeXFMTzAwYkgxdDFPNXhSM2pjZ0JPbUdZenZ5TklOMkRrZVphaFlNa2haQWlEd1pMaGNhTlN4eXF6OVYxT3NmUGdiNVR5UUY4M3ByaTlaZ0NiZ1NBbVdybnlvWUdCT0Nvd2FHVjBFbl9kdmtzRzc1QXl4Y1lCS3piWTVkSlp5a2IyLXR6LTJjZFk0dm9QZFVPbkJzeGNlekg2QW9BSU9Gdzl3cURsRzZDci02ZU5oamo4TjJEeXk5OC1yUjliMkJfVmF3?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
The Wars in Ukraine and Iran Are More Alike Than You May Think - The New York Times,2026-05-26 08:08:39+00:00,The New York Times,news.google.com,https://news.google.com/rss/articles/CBMikAFBVV95cUxOWHN5VmtLY3Q4ZmFLNDg0U3ZtR0Z5QXFSS3dZSjd0OFJQNGEyX1BvQmZ1XzFmdGgxeXowMUV0RHhNZl9ZQS1FUTNXR21UdHVxZlFoc2JrNDFtQVFTcWs0V21jRGRqc0hyQ2hVaXFzTmR2TzB4dm5vQUdULTlvbUhoc2U2NFZwTDVLb3I3QnFseXc?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
From Tehran to Donbas: What the Iran War Means for Russia and Ukraine - Foreign Policy Research Institute,2026-03-06 08:00:00+00:00,Foreign Policy Research Institute,news.google.com,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOQ3drZXoxLUdKUDdIcUY2SW5vRWNmSVU5YThPLWdqbkVfSTRjd1hCQmJpdlhBbFdha3A3MkUxcWw2YUFuV0VjRXBUZHJrQ01SZC1XcVJjLWlndUUyX1VyaEVHcmVJcU5BZWQtczhadkZFdS1DQzRPNUNBSkx6cGREeUh6bTdIR0NudExoU2FlRndOVGdkRlotQzA3d0ltM2hjcGdpSWtrUlFhZw?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
The Iran Conflict Is Becoming a Russia-Ukraine Proxy War - Council on Foreign Relations,2026-03-30 07:00:00+00:00,Council on Foreign Relations,news.google.com,https://news.google.com/rss/articles/CBMijgFBVV95cUxQOXNOWGVDZm9BZ0FCaXhTYnd0VzNWejlOdExlZUEyRVozdndGUnZXTjUwZS1WMHVxUWRKbU50NU1DWUxMVTlrY0E5YVgteEVRVDdaa21Ebll4NHU1bHlDcnczWmtQZTJ6YXhrdHNCSkFkT3BhMElfVndXR3d5VTh3RDJoQU1HR3lzR2l0VDF3?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
The coming compute war in Ukraine - Atlantic Council,2026-03-16 07:00:00+00:00,Atlantic Council,news.google.com,https://news.google.com/rss/articles/CBMimwFBVV95cUxNV3FVVEppWFhHaXozYmVla1dhSkR2MlNBYVZJdTJ4NldiTGRXZXJ1ZkRqWHhieGxtMEsyU2tFcU9Tb3dXZDV6RHpSTmsyOWprQm1RbVVuUk84WTFQT29DTWVOeUtJckNUYU9TR09DQ1FHOVhIODFlSVRBUGh1SHlFVC1BODZqcXBaUGJZYjZvMDA2ZkM0Vy00WEF1UQ?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
Ukraine war situation update | 28 February – 6 March 2026 - ReliefWeb,2026-03-18 07:00:00+00:00,ReliefWeb,news.google.com,https://news.google.com/rss/articles/CBMilAFBVV95cUxOWVp5d1BrLXVCRWJsMlZLWXB1MDVGRmVyMmRPbFh1bm40UVMwM3RLRmU4Nkktc1lkbUNnUlJmX2RiNTMzMlZaZklGbXhiOTJNWG1yY19iUVE2bTEwYndtZ3BCNjhRM09Fc08tcTAtMC1ielRCVTh4U0x5WDhrdGw4d0dlZ2oxMjJuNWlXakFiUzVVQVpY?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
Russia-Ukraine conflict: AFU keeps up assault on Russian oil infrastructure as Kyiv braces for more strike - The Economic Times,2026-05-30 13:36:20+00:00,The Economic Times,news.google.com,https://news.google.com/rss/articles/CBMigwJBVV95cUxPUTZISk1hcW5ZbXZKSVZQZFM4aG9rQ2Rkdzl1bWxlOHFlZUl4YllHbDBXR1IzbEhNVGpJa19XUWY5NloyUDJFR1Q1UDMtclNBOG92YWFQc3ZDTnl3Tlo1VDR6cVRENTYwQ2xfM3hVeVF2VUNveENPb0R0RTJHbW5wOWJDNWdvSjJTa2NoazNLdi1KVHRFMm5tYnlDNVpsQmpjS3A1czBCNXNvaWVuV2tDZHhhazFtVjBvNXo0QnJ4SzZaRzgxVmdiSU9qQms3azZ2SEotLTQ3OW1BN0ZXVzRUX3ZYQVBBQkZQSkYwbzEya0pNSVpQa0hUVE5rVEhQUU96eHRR0gGIAkFVX3lxTE9nRmlEYmkwVk5tUGtnQzlMTks3MDhkZE9PVTVQQTl0bGJBSW41WHdRQ2tfaUxVSHFXeWtvTkNQZFkzSVg4YVBaQmdSaVhFNmdkNU13LUV2eWJoVElkSDlzMHRjMFhULXBkZDEzcjZfLXVFSW9xRHJId2tfT1k3M0pSQ2xTSEhxWTBNd2NtbktoWXk2aDY2VVNnNVk4WlBwMjVwVkF5dzA4Ny01eGhvbW9yblh0MFZ6dFN0UFF1SzJLVVdpUnE3dWIybXZ6ZFM5cW13NWtBRENrcWp4aWpQQW5LODRsVWpPcmV3U2U1VDNHQldPTjhRLW5BWC1UbmMwV1c5Tk9jQkdEbw?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
Ukraine’s US air defenses are at risk in Iran war - Politico,2026-03-11 07:00:00+00:00,Politico,news.google.com,https://news.google.com/rss/articles/CBMihgFBVV95cUxPZTF2V0pYUGVQck84YnlqU3V1T3FZa1dpUzZmZEJUcXJSQlNLYTlVT185bGl0LUZVNjNncEc4bWUzTDFtR3NsZWRHRGFXR2t4aVVkWm83RmZXTkNWX3NqUEZxME9rVHpfV3VoYzdOV3EtRG56TEhZVzRPRU9rdkFXVGRfRXUtQQ?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
Russia kills 10 in Ukraine strike including children with new missile - Al Jazeera,2026-03-07 08:00:00+00:00,Al Jazeera,news.google.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxQUHh0YlpTWGRLN3d5MEc5Nl9hbDlLdEVEQzFKdlJreWNZZS1IbGw4UjVwWkZMRkxfdHpmWjAyZE5fLUcySmhqbUtMYnBoNXc2d3k5QUZxbGR6djNTMDZYREZlSk1hYm43VVhTeENMeVhKWHcwdXowZ21RR3FUMEJNQ0U0Wi1WVkhDc2o4ZWhDdmVBd1ZaY2llMllVdlJ1V09uY0VXOEZWNlg0SGJTSmcw0gG0AUFVX3lxTE0wLWhBMnBiTjd4UVJPbzVTc25OaV91Sm9qVjZUS0Q4ZnRueEJsRnVmUmh6VUxwNWFvYmZiQ0FuWk5xX29NbGc0RHdEUW9FblBoNGN3S2ZhTkdDYzJHN1pvcnJFdVVQS1hFNmVBZ2JjcktZNzh2dU5leS1Sa0FqUHJuYUlRb25DeXdoWTZDOURreUFLVVVLNDFsV3lyWjBtNV9BNm0wZzlOci1WWmJmUk44djRkZA?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
How the War in Iran Is Propelling the Conflict in Ukraine - The New Yorker,2026-04-28 07:00:00+00:00,The New Yorker,news.google.com,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNQzVpbVNiTmhvWkotZ2piQWJCcEdhWWtwUWJkbGN2VTBTUWNaVFlFVFE4YUdoNW0yVXA4X3VzQ21sc093T3U3Z3BQVFNsQTZCYjNSUjJOb2Q0Zm0zek1kME45R0dqakJZMkNPbk95TWF2VzRoNW9MNl9VOWVDY08yR2R2YlVBcU9LUXh3?oc=5,google_rss,Black_Sea_Ukraine,Black_Sea_Ukraine
