station_id,name,brand,operator,latitude,longitude,source
node/266753132,Aytemiz,Aytemiz,Shell,40.8968375,29.2249513,OpenStreetMap Overpass
node/269367213,Opet,Opet,Alpet,41.0260804,28.9797859,OpenStreetMap Overpass
node/278335431,Petrol Ofisi,Petrol Ofisi,,41.0288378,29.0174396,OpenStreetMap Overpass
node/288789439,Petrol Ofisi,Petrol Ofisi,,41.1141944,29.0599219,OpenStreetMap Overpass
node/446288239,Class Petrol,Class Petrol,,41.0001901,28.8007381,OpenStreetMap Overpass
node/552869782,Shell,Shell,,40.9989931,29.1549337,OpenStreetMap Overpass
node/568011021,Opet,Opet,Artek Petrol,41.0550943,28.9992938,OpenStreetMap Overpass
node/618202926,,,,40.8055483,29.4960753,OpenStreetMap Overpass
node/618202932,,,,40.809658,29.5087582,OpenStreetMap Overpass
node/772439779,Shell Baban Petrol,Shell,,41.0050371,29.0307907,OpenStreetMap Overpass
node/932363710,Shell,Shell,,41.05594,28.9977006,OpenStreetMap Overpass
node/1670461592,Total,TotalEnergies,,40.9876439,29.087031,OpenStreetMap Overpass
node/1672420097,Shell,Shell,,41.0877238,29.0177524,OpenStreetMap Overpass
node/1695103519,Total,TotalEnergies,,41.0042734,28.6841172,OpenStreetMap Overpass
node/1705108267,,,,40.8619926,29.3875044,OpenStreetMap Overpass
node/1705380902,,,,40.8733759,29.4081536,OpenStreetMap Overpass
node/1713488174,Opet,Opet,,40.9783258,29.1235487,OpenStreetMap Overpass
node/1755203245,Total,TotalEnergies,,40.9835054,29.0919078,OpenStreetMap Overpass
node/1830235496,,,,41.2275004,28.4916451,OpenStreetMap Overpass
node/1905650685,Opet,Opet,,40.8815155,29.2403352,OpenStreetMap Overpass
node/1905900747,Shell,Shell,,40.8756773,29.2328762,OpenStreetMap Overpass
node/1907466158,Türkiye Petrolleri,Türkiye Petrolleri,,40.8988275,29.3692152,OpenStreetMap Overpass
node/1907466259,Türkiye Petrolleri,Türkiye Petrolleri,,40.9085841,29.3609713,OpenStreetMap Overpass
node/1913379075,BP,BP,,40.8657172,29.3783242,OpenStreetMap Overpass
node/1920258400,Petrol Ofisi,Petrol Ofisi,,41.0492898,29.0768296,OpenStreetMap Overpass
node/2257504633,Aytemiz,Aytemiz,,40.9676174,29.1026273,OpenStreetMap Overpass
node/2257505250,BP,BP,,40.9664225,29.1033193,OpenStreetMap Overpass
node/2257506320,Total,TotalEnergies,,40.966139,29.1047838,OpenStreetMap Overpass
node/2264750239,Shell,Shell,,41.0370814,29.1556729,OpenStreetMap Overpass
node/2277832475,Alpet Gürpınar,Alpet,Alpet,40.9961049,28.6252197,OpenStreetMap Overpass
node/2363493667,,,,40.8358408,29.323905,OpenStreetMap Overpass
node/2371245378,,,,40.8015784,29.5263931,OpenStreetMap Overpass
node/2381588597,,,,40.8992467,29.5220969,OpenStreetMap Overpass
node/2384550847,,,,40.8878295,29.7699498,OpenStreetMap Overpass
node/2392806044,,,,41.1351115,28.4656276,OpenStreetMap Overpass
node/2392806726,,,,41.1579646,28.4545528,OpenStreetMap Overpass
node/2392806728,,,,41.1580163,28.4540224,OpenStreetMap Overpass
node/2392986716,Opet,Opet,,41.0156405,29.074591,OpenStreetMap Overpass
node/2392986717,Shell,Shell,,41.0167626,29.0760902,OpenStreetMap Overpass
node/2429198871,Total,TotalEnergies,,41.041378,28.832275,OpenStreetMap Overpass
node/2610629148,Shell,Shell,,40.8868524,29.2399111,OpenStreetMap Overpass
node/2716711598,Shell Şenlikköy,Shell,,40.9879309,28.7960684,OpenStreetMap Overpass
node/2928531148,Opet,Opet,,40.9994399,28.7135734,OpenStreetMap Overpass
node/2999419474,Shell,Shell,,40.97084,29.083573,OpenStreetMap Overpass
node/3095087044,,,,41.0880723,29.3438026,OpenStreetMap Overpass
node/3130909268,Opet,Opet,,41.0080248,28.8816979,OpenStreetMap Overpass
